case_name,array_type,provenance_kind,source_calibrated,source_velocity_peak_m_s,mode,architecture,pattern,frequency_hz,curing_fraction_requested,active_elements,active_area_m2,normalization,max_weight,squared_velocity_area_m4_s2,target_coverage,off_target_exposure,target_uniformity_cv,above_threshold_volume_m3,target_volume_m3,off_target_volume_m3,width_x_6db_m,width_y_6db_m,width_z_6db_m,secondary_x_db,secondary_y_db,secondary_x_status,secondary_y_status,peak_pressure_pa,reference_pressure_pa,reference_intensity_ta_w_m2,duty_cycle,exposure_time_s,threshold_type,threshold_scale,threshold_value_si,intensity_basis,off_target_max_pressure_pa,off_target_max_intensity_ta_w_m2,prefocal_max_pressure_pa,postfocal_max_pressure_pa,prefocal_above_threshold_volume_m3,postfocal_above_threshold_volume_m3,target_to_off_target_peak_pressure_ratio,focus_position_error_m,prefocal_status,postfocal_status,drive_limit_status,max_element_velocity_m_s,total_channels,curing_channels,solver_name,solver_version,grid_dx_m,grid_dy_m,grid_dz_m
dual_96_plus_96,dual_array,synthetic,0,0.01,single_focus,dual_array,separate,2500000,0.5,96,6e-06,fixed_element,1,6e-10,1,0.137248054280585,0.0589260221599828,8.66400000000002e-08,4.11e-09,6.01319999999991e-07,0.00304419007591005,0.00457143815769714,NaN,NaN,NaN,unbracketed_main_lobe,unbracketed_main_lobe,14523.5356830033,23084.3411761131,35.5257871690129,0.2,1,pressure,relative,5771.08529402829,temporal_average,14523.5356830033,14.0622059156981,14523.5356830033,9121.81954532274,3.12e-08,3.45299999999999e-08,0.714579228854955,0.000674124947205222,ok,ok,unknown,0.01,192,96,planar_rayleigh_midpoint,p0-2026-09-24,0.0003,0.0003,0.000333333333333333
partitioned_24x8_right_96,matrix,synthetic,0,0.01,single_focus,partitioned,right_curing,2500000,0.5,96,6e-06,fixed_element,1,6e-10,1,0.137597285970866,0.0589087482705984,8.68500000000002e-08,4.11e-09,6.01319999999991e-07,0.0030452186353698,0.00457254179957312,NaN,NaN,NaN,unbracketed_main_lobe,unbracketed_main_lobe,14457.7680087894,23084.3411761131,35.5257871690129,0.2,1,pressure,relative,5771.08529402829,temporal_average,14457.7680087894,13.935137053065,14457.7680087894,9126.28788488357,3.114e-08,3.49199999999999e-08,0.717269119019506,0.000674124947205222,ok,ok,unknown,0.01,192,96,planar_rayleigh_midpoint,p0-2026-09-24,0.0003,0.0003,0.000333333333333333
