x_m,y_m,z_m,pressure_2x2_pa,pressure_4x4_pa,relative_complex_error
0.002,0,0.015,9951.26795920973,9947.59356423104,0.000765666861636608
0.002,0,0.011,13401.8113066332,13392.7614852776,0.00108167367805712
