case_name,relative_threshold,threshold_pa,target_coverage,off_target_exposure
dual_96_plus_96,0.25,5771.08529402829,1,0.137248054280585
dual_96_plus_96,0.35,8079.5194116396,0.992700729927007,0.0424565954899229
dual_96_plus_96,0.5,11542.1705880566,0,0.00568748752743971
partitioned_24x8_right_96,0.25,5771.08529402829,1,0.137597285970866
partitioned_24x8_right_96,0.35,8079.5194116396,0.992700729927007,0.0427060466972667
partitioned_24x8_right_96,0.5,11542.1705880566,0,0.00588704849331479
