pattern,active_elements,effective_pitch_m,steering_deg,predicted_grating_angle_deg,observed_nearby_peak_deg,grating_level_db_drive_reference
shared,32,0.0003,20,NaN,NaN,NaN
checkerboard,16,0.0006,20,-41.1459865586409,-41.1,-1.10103824139839
