angle_deg,shared_amplitude,checkerboard_amplitude
-85,0.0257812317735929,0.0508881152913032
-84.95,0.0257522028159904,0.0508412053103253
-84.9,0.0257225015555974,0.0507930523759915
-84.85,0.0256921171020733,0.0507436339277506
-84.8,0.0256610384883565,0.0506929272193105
-84.75,0.0256292546719659,0.0506409093205428
-84.7,0.0255967545363309,0.0505875571194446
-84.65,0.0255635268921538,0.0505328473241624
-84.6,0.0255295604788049,0.0504767564650695
-84.55,0.0254948439657487,0.0504192608969176
-84.5,0.0254593659540045,0.0503603368010354
-84.45,0.0254231149776409,0.0502999601876039
-84.4,0.0253860795053034,0.0502381068979914
-84.35,0.0253482479417752,0.0501747526071526
-84.3,0.0253096086295766,0.0501098728261002
-84.25,0.0252701498505974,0.0500434429044415
-84.2,0.0252298598277675,0.0499754380329822
-84.15,0.0251887267267551,0.0499058332464069
-84.1,0.0251467386577184,0.0498346034260267
-84.05,0.0251038836770775,0.0497617233025998
-84,0.0250601497893339,0.0496871674592278
-83.95,0.0250155249489255,0.0496109103343284
-83.9,0.024969997062122,0.0495329262246796
-83.85,0.0249235539889524,0.0494531892885445
-83.8,0.0248761835451837,0.0493716735488768
-83.75,0.0248278735043303,0.0492883528966008
-83.7,0.0247786115997055,0.0492032010939765
-83.65,0.0247283855265164,0.0491161917780447
-83.6,0.0246771829439973,0.0490272984641533
-83.55,0.0246249914775915,0.0489364945495778
-83.5,0.0245717987211579,0.048843753317206
-83.45,0.0245175922392451,0.0487490479393385
-83.4,0.0244623595693875,0.0486523514815475
-83.35,0.0244060882244532,0.0485536369066461
-83.3,0.0243487656950362,0.0484528770787367
-83.25,0.0242903794518904,0.0483500447673523
-83.2,0.0242309169484088,0.0482451126516906
-83.15,0.0241703656231491,0.048138053324942
-83.1,0.0241087129023988,0.0480288392987102
-83.05,0.0240459462027946,0.0479174430075294
-83,0.0239820529339813,0.0478038368134779
-82.95,0.0239170205013166,0.047687993010887
-82.9,0.0238508363086274,0.0475698838311528
-82.85,0.0237834877610089,0.0474494814476424
-82.8,0.0237149622676727,0.047326757980706
-82.75,0.0236452472448398,0.0472016855027868
-82.7,0.0235743301186856,0.047074236043633
-82.65,0.0235021983283304,0.0469443815956199
-82.6,0.0234288393288782,0.0468120941191699
-82.55,0.0233542405945039,0.0466773455482791
-82.5,0.0232783896215896,0.0465401077961525
-82.45,0.0232012739319147,0.0464003527609497
-82.4,0.0231228810758855,0.0462580523316316
-82.35,0.0230431986358222,0.046113178393922
-82.3,0.0229622142292944,0.0459657028363793
-82.25,0.0228799155125036,0.0458155975565771
-82.2,0.0227962901837198,0.0456628344673996
-82.15,0.022711325986764,0.0455073855034463
-82.1,0.0226250107145453,0.0453492226275566
-82.05,0.0225373322126455,0.0451883178374396
-82,0.0224482783829571,0.045024643172431
-81.95,0.0223578371873673,0.0448581707203538
-81.9,0.0222659966515011,0.0446888726245089
-81.85,0.0221727448685055,0.0445167210907708
-81.8,0.0220780700028908,0.0443416883948083
-81.75,0.0219819602944248,0.0441637468894256
-81.7,0.0218844040620698,0.0439828690120182
-81.65,0.0217853897079789,0.0437990272921506
-81.6,0.021684905721539,0.0436121943592579
-81.55,0.0215829406834669,0.0434223429504646
-81.5,0.0214794832699522,0.0432294459185256
-81.45,0.0213745222568573,0.0430334762398918
-81.4,0.0212680465239629,0.0428344070228987
-81.35,0.0211600450592671,0.0426322115160743
-81.3,0.0210505069633313,0.0424268631165744
-81.25,0.0209394214536842,0.0422183353787398
-81.2,0.0208267778692622,0.0420066020227792
-81.15,0.0207125656749165,0.0417916369435747
-81.1,0.0205967744659565,0.041573414219614
-81.05,0.0204793939727476,0.0413519081220439
-81,0.020360414065361,0.0411270931238572
-80.95,0.0202398247582659,0.0408989439091928
-80.9,0.0201176162150731,0.0406674353827715
-80.85,0.0199937787533314,0.0404325426794506
-80.8,0.0198683028493638,0.0401942411739085
-80.75,0.0197411791431523,0.0399525064904491
